NAVIDAD             PICTIONARY           GUARDAPOLVO        PALMERA
Animal              Juez                 Nafta              Batalla
Felino              Reglas               Combustible        Armas
Arañar             Deportes             Lubricante         Ejercito
Maullido            Futbol               Estación de       Soldados
Ronroneo            Referi               Servicio           Combate
                                         ESSO


SAUNA               BARRIL               AVION              ESTUFA
Gimnasio            Cerveza              Alas               Frío
Calor               Tonel                Aire               Calentar
Transpirar          Madera               Volar              Hogar
Vapor               Vino                 Piloto             Invierno
Adelgazar           Cuba                 Aeropuerto         Gas



VAGABUNDO           DEBUT                COLLAR             OLOR
Mendigo             Primera vez          Perlas             Sentido
Linyera             Estreno              Joya               Nariz
Ciruja              Virgen               Colgante           Aroma
Pobre               Comienzo             Adorno             Fragancia
Casa                Artista              Garganta           Perfume



HOMOSEXUAL          ANIVERSARIO          CARTERA            MASCARA
Lesbiana            Casamiento           Bolso              Carnaval
Mariposón          Celebración         Documentos         Antifaz
Travesti            Festejo              Billetera          Cara
Trolo               Fecha                Mujer              Disfraz
Maricón            Cumpleaños          Llaves             Cubrir



INVITADO            CUCARACHA            BUFANDA            MODA
Boda                Insecto              Frío              Ropa
Cumpleaños         Cocina               Lana               Alta costura
Fiesta              Bicho                Boca               Onda
Amigos              Nocturno             Proteger           Temporada
Convidar            Comida               Cuello             Desfile


DELFIN              GOLF                 GUANTE             DIBUJOS ANIMADOS
Ballena             Caddy                Manos              Caricatura
Mar                 Hoyos                Dedos              Niños
Animal              18                   Invierno           Película
Amaestrado          Golpe                Boxeador           Tom & Jerry
Mamífero           Palos                Lana               Televisión



ESCOBA              ENREDADERA           INVERSION          ESPALDA
Barrer              Jardín              Finanzas           Columna Vertebral
Limpiar             Subir                Bolsa              Pecho
Bruja               Planta               Dinero             Mochila
Piso                Pared                Acciones           Cuerpo
Paja                Trepar               Banco              Hombros



CORAZON             CHOFER               JOCKEY             DIVISION
Rojo                Coche                Carrera            Aritmética
Amor                Conductor            Fusta              Colegio
Músculo            Manejar              Hipódromo         Matemática
Sangre              Volante              Montar             Calculadora
Latir               Camión              Caballo            Multiplicación



INFANTIL            CIRCUITO             ISLA               RECITAL
Bebe                Carrera              Océano            Concierto
Juguete             Competición         Mar                Instrumentos
Niño               Pista                Tierra             Escenario
Pequeño            Formula 1            Rodeada            Grupo
Nene                Recorrido            Agua               Música



POPEYE              HURACAN              ENTRADA            DESODORANTE
Olivia              Viento               Puerta             Transpiración
Brutus              Ciclon               Dentro             Olor
Dibujo Animado      Tormenta             Acceso             Aerosol
Espinacas           Tornado              Ingreso            Perfume
Marinero            Torbellino           Salida             Axilas



TOILETTE            VENECIA              COLECTIVO          DESIERTO
Baño               Italia               Boleto             Oasis
Recepción          Ciudad               Viajar             Arena
Inodoro             Agua                 Línea             Sol
Pintarse            Canales              Bondi              Sahara
Lavarse             Góndolas            Micro              Espejismo



VACUNAR             PLANTA               NESQUIK            HELADERA
Obligatorio         Verde                Cacao              Conservar
Enfermedad          Hojas                Polvo              Comida
Sabin               Regar                Chocolate          Frío
Triple              Maceta               Merienda           Refrigerador
Prevenir            Vegetal              Leche              Cubitos



PILDORA             MAYONESA             TARZAN             ESTERIL
Remedio             Mostaza              Chita              Embarazo
Medicina            Hellmann’s         Jane               Esperma
Enfermo             Amarilla             Selva              Fértil
Pastilla            Condimento           Grito              Hijos
Tragar              Sándwich            Lianas             Procrear


VERGÜENZA          MERCADO DE VALORES   PRECIOSA           BEISBOL
Colorado            Bolsa                Bella              Golpe
Papelón            Acciones             Hermosa            Base
Bochorno            Vender               Linda              Juego
Tímido             Wall Street          Bonita             Bate
Rubor               Comprar              Piedra             Deporte



MIEL                PALA                 ACONCAGUA          TAMBOR
Abejas              Herramienta          Mendoza            Palillos
Dulce               Sacar                Montaña           Batería
Panal               Pozo                 Cordillera         Percusión
Colmena             Tierra               Alta               Música
Insecto             Agujero              Alpinismo          Instrumento



STRESS              HACHA                AMARILLO           BAZOOKA
Tensión            Cortar               Banana             Chicle
Trabajo             Bosque               Sol                Globo
Nervios             Leñador             Color              Quiosco
Presión            Madera               Limón             Masticas
Ansiedad            Árbol               Oro                Marca



VENTILADOR          MADERA               CAMPO              VELOCIMETRO
Aire                Tronco               Cultivar           Auto
Techo               Leños               Ciudad             R.P.M.
Verano              Carpintero           Gaucho             Reloj
Aspas               Árboles             Vacas              Tacómetro
Girar               Tabla                Rural              Aguja


SOMBRA              ESCENARIO            TURISTA            ENFERMERA
Luz                 Obra                 Extranjero         Doctor
Árbol              Actores              Viaje              Consultorio
Noche               Espectáculo         Visitar            Medico
Obscuridad          Telón               Hotel              Hospital
Sol                 Teatro               Vacaciones         Blanco



VINO                NOVIA                MONTAÑA           BAMBI
Alcohol             Soltera              Esquí             Animal
Bebida              Blanco               Rocas              Ciervo
Uvas                Casarse              Escalar            Dibujo Animado
Tinto               Vestido              Everest            Walt Disney
Blanco              Ramo                 Cordillera         Película



LEVANTARSE          COCA-COLA            CRISTOBAL COLON    DINAMARCA
Pararse             Bebida               12 de Octubre      Holanda
Sentarse            Gaseosa              Descubridor        Europa
Incorporarse        Marca                America            Escandinavo
Acostarse           Tomar                Carabelas          País
Elevarse            Pepsi                Puerto de Palos    Copenhague



VENDA               PEZON                CARRETILLA         BICICLETA
Torcedura           Pechos               Llevar             2 ruedas
Gasa                Tetas                Rueda              Velódromo
Medico              Mujer                Arena              Moto
Farmacia            Punta                Obra               Manubrio
Herida              Leche                Tierra             Pedal


GABRIELA SABATINI   MARIO PERGOLILNI     PORNOGRAFIA        TERMOMETRO
Tenis               TV                   Erotismo           Medir
Graf                Radio                Censura            Fiebre
Seles               Ataca                Revistas           Axila
Raqueta             Hacelo               Películas         Temperatura
Argentina           Tinelli              Obseno             Cuerpo



LAPICERA            HIMEN                BALCON             POLLERA
Birome              Virgen               Edificio           Mini
Escribir            Mujer                Departamento       Ropa
Papel               Vagina               Terraza            Mujer
Tinta               Membrana             Baranda            Falda
Cartucho            Sexo                 Calle              Vestido



RAUL ALFONSIN       PLASTICOLA           CAPATAZ            HIPODROMO
Ucr                 Adhesivo             Encargado          Carreras
Radical             Marca                Fabrica            Caballos
Político           Colegio              Obreros            Apuestas
Chascomus           Pegamento            Mandar             Palermo
ExPresidente        Papel                Trabajo            San Isidro



TOMATE              PLAGIO               CRIMEN             PRUEBA
Rojo                Copia                Cadáver           Tomar
Verdura             Imitación           Asesinato          Colegio
Perita              Ideas                Victima            Escuela
Salsa               Delito               Homicidio          Test
Pizza               Falso                Matar              Examen


LAPIZ               FURGON DE COLA       CALZONCILLOS       COSTA
Escribir            Final                Bombacha           Agua
Mina                Vagón               Hombre             Playa
Goma                Locomotora           Slip               Orilla
Sacar punta         Tren                 Pantalón          Mar
Borrar              Ultimo               Ropa Interior      Río



AÑO NUEVO          PAJARO               CERVEZA            EQUIPAJE
Enero               Nido                 Bebida             Bolsos
Fiesta              Volar                Porrón            Bultos
Primero             Piar                 Espuma             Perder
Empezar             Alas                 Chop               Valija
Diciembre           Aves                 Balón             Viaje



TITULO              HOMBRE RANA          RELAMPAGO          HILO
Libro               Agua                 Descarga           Zurcir
Nombre              Mar                  Nube               Aguja
Palabra             Tubos                Tormenta           Enhebrar
Película           Escafandra           Rayo               Cosas
Descripción        Buzo                 Trueno             Botón



CANARIO             MANGUERA             VEREDA             MELON
Pájaro             Regar                Calle              Fruta
Jaula               Agua                 Circular           Verano
Canto               Canilla              Peatón            Rodaja
Amarillo            Caño                Baldosa            Sandia
Tweety              Goma                 Cordón            Semillas


MOJADO              POSTE                FRIGIDA            PAQUETE
Paraguas            Cerco                Insensible         Correo
Lluvia              Palo                 Mujer              Envolver
Agua                Columna              Placer             Caja
Seco                Mástil              Orgasmo            Atar
Toalla              Arco                 Sexual             Regalo



ESCALERA            ESCORPION            COMERCIANTE        COINCIDENCIA
Peldaño            Aguijón             Negocio            Inesperado
Ascensor            Desierto             Minorista          Casualidad
Bajar               Alacrán             Vender             Azar
Subir               Picar                Comprar            Involuntario
Baranda             Veneno               Tienda             Suerte



GRANJA              HOTEL                BERENJENA          SUDOR
Caballo             Estrellas            Comer              Transpirar
Estancia            Turistas             Cultivar           Piel
Vaca                Albergue             Planta             Ejercicio
Campo               Hospedaje            Púrpura           Calor
Ganado              Motel                Vegetal            Desodorante
